temperaturemin,temperaturemax,precipitation,snowfall,snowdepth,avgwindspeed,fastest2minwinddir,fastest2minwindspeed,fastest5secwinddir,fastest5secwindspeed
36.0,68.0,0.0,0.0,0.0,10.07,230,17.0,230,21.92
39.9,64.9,0.0,0.0,0.0,2.46,220,14.99,230,19.91
50.0,78.1,0.09,0.0,0.0,17.45,230,36.01,220,46.08
34.0,54.0,0.17,0.0,0.0,5.37,300,19.91,260,31.09
55.9,68.0,0.03,0.0,0.0,3.8,330,12.97,20,17.9
60.1,86.0,0.0,0.0,0.0,6.93,60,17.0,80,23.94
54.0,62.1,0.0,0.0,0.0,6.04,80,14.99,50,21.92
55.0,77.0,0.0,0.0,0.0,3.36,30,12.08,30,16.11
57.9,78.1,0.0,0.0,0.0,5.59,140,12.97,130,21.03
61.0,80.1,0.0,0.0,0.0,7.83,200,16.11,170,21.92
51.1,72.0,0.0,0.0,0.0,3.8,290,14.09,290,21.03
60.1,75.0,0.15,0.0,0.0,5.59,190,14.09,180,21.92
63.0,75.0,0.49,0.0,0.0,6.26,180,16.11,180,23.04
52.0,82.0,0.0,0.0,0.0,6.49,30,21.03,40,27.96
66.0,82.0,0.0,0.0,0.0,1.34,50,8.95,150,14.99
64.9,89.1,0.0,0.0,0.0,6.26,200,14.09,200,17.9
68.0,82.9,0.43,0.0,0.0,7.61,50,19.91,50,25.05
53.1,80.1,0.0,0.0,0.0,6.26,40,17.0,40,23.94
48.0,69.1,0.0,0.0,0.0,6.93,230,17.0,230,21.03
34.0,54.0,0.0,0.0,0.0,6.93,270,17.0,260,23.04
28.0,35.1,0.8,0.0,0.0,5.82,90,12.97,90,17.0
30.9,46.9,0.0,0.0,0.0,6.49,290,19.91,310,25.05
32.0,64.0,0.0,0.0,0.0,11.41,230,19.91,230,23.04
19.9,39.9,0.0,0.0,0.0,7.83,270,17.9,280,23.94
27.0,48.0,0.0,0.0,0.0,3.13,300,14.99,280,17.9
21.9,42.1,0.0,0.0,0.0,3.36,360,14.09,10,19.91
41.0,61.0,0.0,0.0,0.0,2.46,210,8.95,230,12.08
34.0,50.0,0.0,0.0,0.0,6.93,280,17.0,280,23.04
26.1,64.0,0.0,0.0,0.0,8.5,240,21.92,240,29.97
33.1,48.9,0.0,0.0,0.0,7.38,330,19.91,330,29.08
28.0,48.9,0.0,0.0,0.0,4.25,240,14.09,350,19.91
41.0,57.9,0.0,0.0,0.0,3.58,310,14.99,320,23.94
30.0,57.0,0.01,0.0,0.0,2.46,360,16.11,290,25.95
46.0,59.0,0.73,0.0,0.0,6.49,140,17.9,150,25.05
46.9,72.0,0.0,0.0,0.0,7.61,360,19.91,320,29.08
44.1,57.9,0.04,0.0,0.0,4.47,90,12.97,90,16.11
52.0,82.9,0.0,0.0,0.0,11.41,230,21.92,240,25.95
63.0,82.9,0.25,0.0,0.0,11.18,220,21.03,230,23.94
59.0,75.9,0.0,0.0,0.0,6.71,270,16.11,290,21.92
53.1,80.1,0.0,0.0,0.0,6.49,300,17.9,290,25.05
63.0,90.0,0.0,0.0,0.0,8.72,230,14.99,230,19.91
57.0,71.1,0.0,0.0,0.0,9.62,80,17.0,50,21.03
55.0,66.0,0.01,0.0,0.0,2.68,320,6.93,90,8.95
42.1,70.0,0.0,0.0,0.0,12.53,50,25.05,40,31.09
50.0,69.1,0.04,0.0,0.0,11.41,40,17.9,40,23.94
62.1,84.0,0.02,0.0,0.0,13.87,230,23.94,230,29.08
48.9,70.0,0.0,0.0,0.0,7.83,30,16.11,40,21.92
55.9,86.0,0.0,0.0,0.0,4.92,240,12.97,220,16.11
60.1,70.0,0.01,0.0,0.0,6.71,80,14.99,80,17.0
62.1,91.0,0.13,0.0,0.0,4.25,30,19.91,30,25.05
66.9,89.1,0.31,0.0,0.0,5.37,260,14.99,260,19.91
69.1,93.0,0.0,0.0,0.0,7.38,230,21.03,220,23.94
73.0,93.9,0.0,0.0,0.0,9.17,190,17.9,200,23.04
66.0,86.0,0.0,0.0,0.0,6.93,30,17.0,70,21.92
63.0,86.0,0.0,0.0,0.0,6.93,180,12.97,180,17.0
64.9,89.1,0.0,0.0,0.0,9.17,200,16.11,210,19.91
66.9,90.0,0.0,0.0,0.0,7.38,230,14.99,230,17.9
70.0,91.9,0.0,0.0,0.0,8.05,230,16.11,210,19.91
57.9,84.9,0.0,0.0,0.0,5.14,50,17.9,50,23.04
66.9,89.1,0.0,0.0,0.0,4.25,160,16.11,150,19.91
78.1,104.0,0.0,0.0,0.0,4.25,120,23.04,90,25.95
75.0,102.9,0.0,0.0,0.0,10.51,230,19.91,230,23.94
72.0,98.1,0.06,0.0,0.0,6.04,10,21.03,10,29.97
73.0,93.0,0.0,0.0,0.0,6.49,100,12.08,150,17.9
59.0,91.0,0.0,0.0,0.0,3.36,90,10.07,130,16.11
66.0,96.1,0.0,0.0,0.0,4.25,170,10.07,170,17.9
60.1,95.0,0.0,0.0,0.0,3.58,20,12.08,10,16.11
61.0,82.0,0.0,0.0,0.0,5.59,50,16.11,360,21.92
66.0,91.9,0.0,0.0,0.0,4.47,110,12.97,80,17.0
64.9,86.0,0.0,0.0,0.0,5.59,50,12.08,50,14.99
63.0,89.1,0.0,0.0,0.0,5.82,170,12.08,170,14.99
66.0,93.9,0.0,0.0,0.0,4.7,270,10.07,300,14.99
63.0,84.9,0.04,0.0,0.0,5.14,230,12.97,170,16.11
37.9,73.9,0.0,0.0,0.0,1.79,140,8.95,170,14.99
39.9,66.0,0.0,0.0,0.0,5.37,20,14.99,20,19.91
30.0,55.0,0.0,0.0,0.0,3.8,40,12.97,20,16.11
34.0,61.0,0.0,0.0,0.0,4.25,210,12.08,230,14.99
34.0,51.1,0.0,0.0,0.0,6.26,290,17.0,320,23.04
46.0,61.0,0.0,0.0,0.0,3.13,10,8.95,40,12.97
46.9,78.1,0.0,0.0,0.0,7.61,230,21.03,220,25.05
36.0,48.9,0.06,0.0,0.0,3.13,90,10.07,100,14.99
36.0,63.0,0.0,0.0,0.0,3.36,260,12.08,230,14.09
33.1,54.0,0.0,0.0,0.0,5.82,230,14.99,220,17.9
36.0,45.0,0.0,0.0,0.0,5.82,270,16.11,280,21.03
54.0,75.9,0.01,0.0,0.0,9.17,220,23.94,230,29.08
28.0,44.1,0.0,0.0,0.0,6.26,270,14.99,280,19.91
46.9,66.9,0.16,0.0,0.0,10.74,220,25.05,220,29.97
36.0,57.9,0.0,0.0,0.0,3.58,220,14.09,220,16.11
19.9,35.1,0.0,0.0,0.0,4.47,330,12.08,310,17.0
50.0,73.0,0.0,0.0,0.0,8.5,210,16.11,210,21.03
48.9,68.0,0.0,0.0,0.0,13.42,220,29.97,220,38.03
21.0,39.0,0.0,0.0,0.0,3.8,340,14.09,340,21.92
37.0,64.0,0.0,0.0,0.0,13.42,220,23.94,230,27.96
36.0,60.1,0.83,0.0,0.0,8.5,330,25.95,210,35.12
61.0,77.0,0.0,0.0,0.0,19.01,220,33.11,230,40.94
43.0,66.0,0.0,0.0,0.0,8.05,230,25.95,240,31.09
